phase,bag_num,unit_or_mayberry_stake,desert_source,mayberry_treatment,cultivation_f_g_c,cultivation_shade,cultivation_water,cultivation_substrate,cultivation_inoc_status,sod_section_num,lab_replicate,property,date_sampled,cores,slake,resurrect_block,resurrect_sample_provenance,resurrect_desert_treatment,date_eps,eps_extractor,eps_timepoint,eps_timepoint_months,lb_eps,tb_eps,g_eps,total_eps,chla,old_cyano_qPCR,Note
greenhouse,,42,Mojave,NA,,C,1,,C,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,71.330,6.790,18.120,96.240,0.794,,
greenhouse,,42,Mojave,NA,,C,1,,C,NA,,NA,,NA,NA,,,,7/15/19,ND,initial,0,40.564,40.978,35.811,117.350,0.090,,
greenhouse,,43,Mojave,NA,,S,1,,C,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,51.940,37.840,20.850,110.630,1.839,,
greenhouse,,43,Mojave,NA,,S,1,,C,NA,,NA,,NA,NA,,,,7/15/19,ND,initial,0,29.319,17.797,33.526,80.640,0.092,,
greenhouse,,44,Mojave,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,44.000,-1.060,81.430,124.380,5.753,,
greenhouse,,44,Mojave,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,38.640,6.220,82.070,126.930,4.997,,
greenhouse,,44,Mojave,NA,,C,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,40.980,-14.760,68.350,94.570,6.881,,
greenhouse,,45,CP,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,103.330,77.810,397.890,579.030,6.155,,
greenhouse,,45,CP,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,204.260,35.070,578.220,817.550,5.990,,
greenhouse,,45,CP,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,144.900,40.480,425.520,610.900,6.211,,
greenhouse,,46,Mojave,NA,,C,3,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,55.780,-12.140,150.130,193.780,7.446,2927210,
greenhouse,,46,Mojave,NA,,C,3,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,82.610,-13.180,180.400,249.820,8.805,2927210,
greenhouse,,46,Mojave,NA,,C,3,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,89.770,-7.080,210.840,293.520,10.426,2927210,
